,location,total_sqft,bath,price,BHK
0,7th Phase JP Nagar,1080.0,2.0,92.5925925925926,2
1,7th Phase JP Nagar,1270.0,2.0,78.74015748031496,2
2,7th Phase JP Nagar,1420.0,2.0,70.4225352112676,3
3,7th Phase JP Nagar,1850.0,3.0,54.054054054054056,3
4,7th Phase JP Nagar,1245.0,2.0,80.32128514056225,2
5,7th Phase JP Nagar,1175.0,2.0,85.1063829787234,2
6,7th Phase JP Nagar,1400.0,2.0,71.42857142857143,3
7,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
8,7th Phase JP Nagar,1100.0,2.0,90.9090909090909,2
9,7th Phase JP Nagar,1450.0,2.0,68.96551724137932,3
10,7th Phase JP Nagar,1040.0,2.0,96.15384615384616,2
11,7th Phase JP Nagar,1070.0,2.0,93.45794392523365,2
12,7th Phase JP Nagar,1190.0,2.0,84.03361344537815,2
13,7th Phase JP Nagar,1500.0,3.0,66.66666666666667,3
14,7th Phase JP Nagar,1420.0,2.0,70.4225352112676,3
15,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
16,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
17,7th Phase JP Nagar,1035.0,2.0,96.61835748792271,2
18,7th Phase JP Nagar,1370.0,2.0,72.99270072992701,2
19,7th Phase JP Nagar,1180.0,2.0,84.7457627118644,2
20,7th Phase JP Nagar,1300.0,2.0,76.92307692307692,3
21,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,3
22,7th Phase JP Nagar,1343.0,2.0,74.46016381236039,3
23,7th Phase JP Nagar,1405.0,2.0,71.17437722419929,3
24,7th Phase JP Nagar,1400.0,3.0,71.42857142857143,3
25,7th Phase JP Nagar,1075.0,2.0,93.02325581395348,2
26,7th Phase JP Nagar,1100.0,2.0,90.9090909090909,2
27,7th Phase JP Nagar,1270.0,2.0,78.74015748031496,2
28,7th Phase JP Nagar,1035.0,2.0,96.61835748792271,2
29,7th Phase JP Nagar,1250.0,3.0,80.0,3
30,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
31,7th Phase JP Nagar,1500.0,5.0,66.66666666666667,4
32,7th Phase JP Nagar,1385.0,2.0,72.20216606498195,3
33,7th Phase JP Nagar,1575.0,2.0,63.492063492063494,3
34,7th Phase JP Nagar,1850.0,3.0,54.054054054054056,3
35,7th Phase JP Nagar,1370.0,2.0,72.99270072992701,3
36,7th Phase JP Nagar,1370.0,2.0,72.99270072992701,3
37,7th Phase JP Nagar,1300.0,2.0,76.92307692307692,3
38,7th Phase JP Nagar,1575.0,2.0,63.492063492063494,3
39,7th Phase JP Nagar,1850.0,3.0,54.054054054054056,3
40,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
41,7th Phase JP Nagar,1212.0,3.0,82.50825082508251,2
42,7th Phase JP Nagar,1175.0,2.0,85.1063829787234,2
43,7th Phase JP Nagar,1215.0,2.0,82.3045267489712,2
44,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
45,7th Phase JP Nagar,1300.0,3.0,76.92307692307692,3
46,7th Phase JP Nagar,1130.0,2.0,88.49557522123894,2
47,7th Phase JP Nagar,1450.0,3.0,68.96551724137932,3
48,7th Phase JP Nagar,1350.0,3.0,74.07407407407408,3
49,7th Phase JP Nagar,1200.0,2.0,83.33333333333333,2
50,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
51,7th Phase JP Nagar,1275.0,2.0,78.43137254901961,2
52,7th Phase JP Nagar,1460.0,3.0,68.4931506849315,3
53,7th Phase JP Nagar,1650.0,3.0,60.60606060606061,3
54,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
55,7th Phase JP Nagar,1850.0,3.0,54.054054054054056,3
56,7th Phase JP Nagar,1236.0,2.0,80.90614886731392,2
57,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
58,7th Phase JP Nagar,1675.0,2.0,59.701492537313435,3
59,7th Phase JP Nagar,1035.0,2.0,96.61835748792271,2
60,7th Phase JP Nagar,1187.0,2.0,84.24599831508003,2
61,7th Phase JP Nagar,1850.0,3.0,54.054054054054056,3
62,7th Phase JP Nagar,1460.0,2.0,68.4931506849315,3
63,7th Phase JP Nagar,1650.0,3.0,60.60606060606061,3
64,7th Phase JP Nagar,1200.0,2.0,83.33333333333333,2
65,7th Phase JP Nagar,1070.0,2.0,93.45794392523365,2
66,7th Phase JP Nagar,1080.0,2.0,92.5925925925926,2
67,7th Phase JP Nagar,1415.0,3.0,70.6713780918728,3
68,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
69,7th Phase JP Nagar,1040.0,2.0,96.15384615384616,2
70,7th Phase JP Nagar,1800.0,6.0,55.55555555555556,5
71,7th Phase JP Nagar,1100.0,2.0,90.9090909090909,2
72,7th Phase JP Nagar,1460.0,2.0,68.4931506849315,3
73,7th Phase JP Nagar,1120.0,2.0,89.28571428571429,2
74,7th Phase JP Nagar,1100.0,3.0,90.9090909090909,2
75,7th Phase JP Nagar,1790.0,3.0,55.865921787709496,3
76,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
77,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
78,7th Phase JP Nagar,1174.0,2.0,85.17887563884156,2
79,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
80,7th Phase JP Nagar,1040.0,2.0,96.15384615384616,2
81,7th Phase JP Nagar,1400.0,2.0,71.42857142857143,3
82,7th Phase JP Nagar,1800.0,3.0,55.55555555555556,3
83,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
84,7th Phase JP Nagar,1400.0,2.0,71.42857142857143,3
85,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
86,7th Phase JP Nagar,1370.0,2.0,72.99270072992701,3
87,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
88,7th Phase JP Nagar,1270.0,2.0,78.74015748031496,2
89,7th Phase JP Nagar,1463.0,2.0,68.3526999316473,3
90,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
91,7th Phase JP Nagar,1070.0,2.0,93.45794392523365,2
92,7th Phase JP Nagar,1130.0,2.0,88.49557522123894,2
93,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
94,7th Phase JP Nagar,1300.0,2.0,76.92307692307692,3
95,7th Phase JP Nagar,1680.0,3.0,59.523809523809526,3
96,7th Phase JP Nagar,1515.0,2.0,66.00660066006601,3
97,7th Phase JP Nagar,1370.0,2.0,72.99270072992701,3
98,7th Phase JP Nagar,1600.0,2.0,62.5,3
99,7th Phase JP Nagar,1765.0,3.0,56.657223796033996,3
100,7th Phase JP Nagar,1275.0,2.0,78.43137254901961,3
101,7th Phase JP Nagar,1450.0,2.0,68.96551724137932,3
102,7th Phase JP Nagar,1035.0,2.0,96.61835748792271,2
103,7th Phase JP Nagar,1575.0,2.0,63.492063492063494,3
104,7th Phase JP Nagar,1075.0,2.0,93.02325581395348,3
105,7th Phase JP Nagar,1050.0,2.0,95.23809523809524,2
106,7th Phase JP Nagar,1680.0,2.0,59.523809523809526,3
107,7th Phase JP Nagar,1100.0,2.0,90.9090909090909,2
108,7th Phase JP Nagar,1430.0,2.0,69.93006993006993,3
109,7th Phase JP Nagar,1128.0,2.0,88.65248226950355,2
110,7th Phase JP Nagar,1140.0,2.0,87.71929824561404,2
111,7th Phase JP Nagar,1420.0,3.0,70.4225352112676,3
112,7th Phase JP Nagar,1530.0,2.0,65.359477124183,2
113,Bannerghatta Road,1050.0,2.0,95.23809523809524,2
114,Bannerghatta Road,1200.0,2.0,83.33333333333333,4
115,Bannerghatta Road,1170.0,2.0,85.47008547008546,3
116,Bannerghatta Road,1445.0,3.0,69.20415224913495,3
117,Bannerghatta Road,1640.0,2.0,60.97560975609756,3
118,Bannerghatta Road,1380.0,3.0,72.46376811594203,4
119,Bannerghatta Road,1460.0,2.0,68.4931506849315,3
120,Bannerghatta Road,1556.0,2.0,64.26735218508998,3
121,Bannerghatta Road,1179.0,2.0,84.81764206955047,2
122,Bannerghatta Road,1484.0,3.0,67.38544474393531,3
123,Bannerghatta Road,1400.0,2.0,71.42857142857143,2
124,Bannerghatta Road,1215.0,2.0,82.3045267489712,2
125,Bannerghatta Road,1654.0,3.0,60.45949214026602,3
126,Bannerghatta Road,1181.0,2.0,84.67400508044031,2
127,Bannerghatta Road,1460.0,2.0,68.4931506849315,3
128,Bannerghatta Road,1200.0,2.0,83.33333333333333,2
129,Bannerghatta Road,1760.0,3.0,56.81818181818182,3
130,Bannerghatta Road,1105.0,2.0,90.49773755656109,2
131,Bannerghatta Road,1255.0,2.0,79.6812749003984,2
132,Bannerghatta Road,1550.0,3.0,64.51612903225806,3
133,Bannerghatta Road,1550.0,3.0,64.51612903225806,3
134,Bannerghatta Road,1550.0,2.0,64.51612903225806,3
135,Bannerghatta Road,1650.0,3.0,60.60606060606061,3
136,Bannerghatta Road,1218.0,2.0,82.10180623973727,2
137,Bannerghatta Road,1427.0,2.0,70.0770847932726,3
138,Bannerghatta Road,1115.0,2.0,89.68609865470852,2
139,Bannerghatta Road,1344.0,2.0,74.4047619047619,3
140,Bannerghatta Road,1893.0,3.0,52.826201796090864,3
141,Bannerghatta Road,1600.0,3.0,62.5,3
142,Bannerghatta Road,1275.0,2.0,78.43137254901961,2
143,Bannerghatta Road,1880.0,3.0,53.191489361702125,3
144,Bannerghatta Road,1260.0,2.0,79.36507936507937,2
145,Bannerghatta Road,1788.0,3.0,55.92841163310962,3
146,Bannerghatta Road,1157.0,2.0,86.4304235090752,2
147,Bannerghatta Road,1150.0,2.0,86.95652173913044,2
148,Bannerghatta Road,1100.0,2.0,90.9090909090909,2
149,Bannerghatta Road,1400.0,3.0,71.42857142857143,3
150,Bannerghatta Road,1725.0,3.0,57.971014492753625,3
151,Bannerghatta Road,1850.0,6.0,54.054054054054056,6
152,Bannerghatta Road,1220.0,2.0,81.9672131147541,2
153,Bannerghatta Road,1130.0,2.0,88.49557522123894,2
154,Bannerghatta Road,1350.0,2.0,74.07407407407408,3
155,Bannerghatta Road,1486.0,3.0,67.29475100942126,3
156,Bannerghatta Road,1460.0,2.0,68.4931506849315,3
157,Bannerghatta Road,1015.0,2.0,98.52216748768473,2
158,Bannerghatta Road,1115.0,2.0,89.68609865470852,2
159,Bannerghatta Road,1136.0,2.0,88.02816901408451,2
160,Bannerghatta Road,1200.0,2.0,83.33333333333333,3
161,Bannerghatta Road,1465.0,2.0,68.25938566552901,3
162,Bannerghatta Road,1500.0,4.0,66.66666666666667,3
163,Bannerghatta Road,1200.0,2.0,83.33333333333333,2
164,Bannerghatta Road,1240.0,2.0,80.64516129032258,2
165,Bannerghatta Road,1476.0,3.0,67.75067750677506,3
166,Bannerghatta Road,1100.0,2.0,90.9090909090909,3
167,Bannerghatta Road,1465.0,2.0,68.25938566552901,3
168,Bannerghatta Road,1268.0,2.0,78.86435331230284,2
169,Bannerghatta Road,1450.0,2.0,68.96551724137932,3
170,Bannerghatta Road,1450.0,3.0,68.96551724137932,3
171,Bannerghatta Road,1625.0,2.0,61.53846153846154,3
172,Bannerghatta Road,1750.0,3.0,57.142857142857146,3
173,Bannerghatta Road,1275.0,2.0,78.43137254901961,2
174,Bannerghatta Road,1430.0,3.0,69.93006993006993,3
175,Bannerghatta Road,1240.0,2.0,80.64516129032258,2
176,Bannerghatta Road,1305.0,2.0,76.62835249042146,3
177,Bannerghatta Road,1215.0,2.0,82.3045267489712,2
178,Bannerghatta Road,1215.0,2.0,82.3045267489712,2
179,Bannerghatta Road,1894.0,3.0,52.79831045406547,3
180,Bannerghatta Road,1655.0,2.0,60.42296072507553,3
181,Bannerghatta Road,1693.0,3.0,59.06674542232723,3
182,Bannerghatta Road,1280.0,2.0,78.125,2
183,Bannerghatta Road,1215.0,2.0,82.3045267489712,2
184,Bannerghatta Road,1365.0,3.0,73.26007326007326,3
185,Bannerghatta Road,1115.0,2.0,89.68609865470852,2
186,Bannerghatta Road,1535.0,3.0,65.14657980456026,3
187,Bannerghatta Road,1655.0,3.0,60.42296072507553,3
188,Bannerghatta Road,1247.0,2.0,80.1924619085806,2
189,Bannerghatta Road,1650.0,3.0,60.60606060606061,3
190,Bannerghatta Road,1000.0,2.0,100.0,2
191,Bannerghatta Road,1012.0,2.0,98.81422924901186,2
192,Bannerghatta Road,1725.0,3.0,57.971014492753625,3
193,Bannerghatta Road,1460.0,2.0,68.4931506849315,3
194,Bannerghatta Road,1340.0,2.0,74.6268656716418,2
195,Bannerghatta Road,1711.0,3.0,58.445353594389246,3
196,Bannerghatta Road,1520.0,2.0,65.78947368421052,3
197,Bannerghatta Road,1115.0,2.0,89.68609865470852,2
198,Bannerghatta Road,1154.0,2.0,86.65511265164645,2
199,Bannerghatta Road,1000.0,2.0,100.0,2
200,Bannerghatta Road,1250.0,2.0,80.0,2
201,Bannerghatta Road,1640.0,3.0,60.97560975609756,3
202,Bannerghatta Road,1656.0,2.0,60.38647342995169,3
203,Bannerghatta Road,1012.0,2.0,98.81422924901186,2
204,Bannerghatta Road,1527.0,3.0,65.48788474132286,3
205,Bannerghatta Road,1660.0,3.0,60.24096385542169,3
206,Bannerghatta Road,1880.0,3.0,53.191489361702125,3
207,Bannerghatta Road,1550.0,3.0,64.51612903225806,3
208,Bannerghatta Road,1200.0,2.0,83.33333333333333,2
209,Bannerghatta Road,1885.0,3.0,53.05039787798408,3
210,Bannerghatta Road,1453.0,2.0,68.82312456985547,3
211,Bannerghatta Road,1450.0,2.0,68.96551724137932,3
212,Bannerghatta Road,1630.0,3.0,61.34969325153374,3
213,Bannerghatta Road,1400.0,3.0,71.42857142857143,3
214,Bannerghatta Road,1465.0,2.0,68.25938566552901,3
215,Bannerghatta Road,1920.0,3.0,52.083333333333336,3
216,Bannerghatta Road,1660.0,3.0,60.24096385542169,3
217,Bannerghatta Road,1270.0,2.0,78.74015748031496,2
218,Bannerghatta Road,1520.0,2.0,65.78947368421052,3
219,Bannerghatta Road,1270.0,2.0,78.74015748031496,3
220,Bannerghatta Road,1846.0,3.0,54.17118093174431,3
221,Bannerghatta Road,1655.0,3.0,60.42296072507553,3
222,Bannerghatta Road,1206.0,2.0,82.91873963515755,2
223,Bannerghatta Road,1150.0,2.0,86.95652173913044,2
224,Bannerghatta Road,1215.0,2.0,82.3045267489712,2
225,Bannerghatta Road,1510.0,2.0,66.2251655629139,3
226,Bannerghatta Road,1022.0,2.0,97.84735812133073,2
227,Bannerghatta Road,1246.0,2.0,80.25682182985554,2
228,Bannerghatta Road,1470.0,2.0,68.02721088435374,3
229,Bannerghatta Road,1160.0,2.0,86.20689655172414,2
230,Bannerghatta Road,1527.0,3.0,65.48788474132286,3
231,Electronic City,1025.0,2.0,97.5609756097561,3
232,Electronic City,1000.0,2.0,100.0,2
233,Electronic City,1530.0,2.0,65.359477124183,3
234,Electronic City,880.0,1.0,113.63636363636364,2
235,Electronic City,1500.0,2.0,66.66666666666667,3
